"Player","League_from","League_to","Fee","Season"
"Kai Havertz","Bundesliga","Premier League","72","20-21"
"Arthur","LaLiga","Serie A","64.8","20-21"
"Victor Osimhen","Ligue 1","Serie A","63","20-21"
"Rúben Dias","Liga NOS","Premier League","61.2","20-21"
"Timo Werner","Bundesliga","Premier League","47.7","20-21"
"Ben Chilwell","Premier League","Premier League","45.18","20-21"
"Mauro Icardi","Serie A","Ligue 1","45","20-21"
"Thomas Partey","LaLiga","Premier League","45","20-21"
"Nathan Aké","Championship","Premier League","40.77","20-21"
"Leroy Sané","Premier League","Bundesliga","40.5","20-21"
"Diogo Jota","Premier League","Premier League","40.23","20-21"
"Achraf Hakimi","LaLiga","Serie A","36","20-21"
"Hakim Ziyech","Eredivisie","Premier League","36","20-21"
"Fábio Silva","Liga NOS","Premier League","36","20-21"
"Donny van de Beek","Eredivisie","Premier League","35.1","20-21"
"Álvaro Morata","Premier League","LaLiga","31.5","20-21"
"Wesley Fofana","Ligue 1","Premier League","31.5","20-21"
"Giovani Lo Celso","LaLiga","Premier League","28.8","20-21"
"Trincão","Liga NOS","LaLiga","27.9","20-21"
"Ollie Watkins","Championship","Premier League","27.72","20-21"
"Rodrigo","LaLiga","Premier League","27","20-21"
"Nélson Semedo","LaLiga","Premier League","27","20-21"
"Sergio Reguilón","LaLiga","Premier League","27","20-21"
"Nicolò Barella","Serie A","Serie A","25.2","20-21"
"Ben Godfrey","Championship","Premier League","24.75","20-21"
"Jonathan David","Jupiler Pro League","Ligue 1","24.3","20-21"
"Yannick Carrasco","Super League","LaLiga","24.3","20-21"
"Patrik Schick","Serie A","Bundesliga","23.85","20-21"
"Gabriel","Ligue 1","Premier League","23.4","20-21"
"Rhian Brewster","Premier League","Premier League","23.4","20-21"
"Jérémy Doku","Jupiler Pro League","Ligue 1","23.4","20-21"
"Allan","Serie A","Premier League","22.5","20-21"
"Emre Can","Serie A","Bundesliga","22.5","20-21"
"Timothy Castagne","Serie A","Premier League","21.6","20-21"
"Darwin Núñez","LaLiga2","Liga NOS","21.6","20-21"
"Edouard Mendy","Ligue 1","Premier League","21.6","20-21"
"Saïd Benrahma","Championship","Premier League","20.79","20-21"
"Ferran Torres","LaLiga","Premier League","20.7","20-21"
"Jude Bellingham","Championship","Bundesliga","20.7","20-21"
"Sébastien Haller","Premier League","Eredivisie","20.25","20-21"
"Callum Wilson","Championship","Premier League","20.03","20-21"
"Abdoulaye Doucouré","Championship","Premier League","19.89","20-21"
"Thiago","Bundesliga","Premier League","19.8","20-21"
"Simone Verdi","Serie A","Serie A","19.8","20-21"
"Suso","Serie A","LaLiga","18.9","20-21"
"Sergiño Dest","Eredivisie","LaLiga","18.9","20-21"
"Amad Diallo","Serie A","Premier League","18.9","20-21"
"Aaron Ramsdale","Championship","Premier League","18.45","20-21"
"Wendel","Liga NOS","Premier Liga","18.27","20-21"
"Éverton","Brazil","Liga NOS","18","20-21"
"Dominik Szoboszlai","Bundesliga","Bundesliga","18","20-21"
"Stefano Sensi","Serie A","Serie A","18","20-21"
"Alexander Sörloth","Premier League","Bundesliga","18","20-21"
"Diego Llorente","LaLiga","Premier League","18","20-21"
"Lucas Paquetá","Serie A","Ligue 1","18","20-21"
"Andrea Pinamonti","Serie A","Serie A","17.55","20-21"
"Raphinha","Ligue 1","Premier League","16.72","20-21"
"Vedat Muriqi","Süper Lig","Serie A","16.65","20-21"
"Bertrand Traoré","Ligue 1","Premier League","16.56","20-21"
"Roberto Inglese","Serie A","Serie A","16.2","20-21"
"Pedrinho","Paulistão A1 - Primeira fase","Liga NOS","16.2","20-21"
"Nicolò Rovella","Serie A","Serie A","16.2","20-21"
"Eberechi Eze","Championship","Premier League","16.02","20-21"
"Hélder Costa","Premier League","Premier League","15.93","20-21"
"Emiliano Martínez","Premier League","Premier League","15.66","20-21"
"Matt Doherty","Premier League","Premier League","15.12","20-21"
"Pierre-Emile Höjbjerg","Premier League","Premier League","14.94","20-21"
"Jamal Lewis","Championship","Premier League","14.85","20-21"
"Karlan Grant","Championship","Premier League","14.85","20-21"
"Pervis Estupiñán","Championship","LaLiga","14.76","20-21"
"Gonzalo Martínez","MLS","Professional League","14.73","20-21"
"Tomas Soucek","Fortuna Liga","Premier League","14.58","20-21"
"Jordan Veretout","Serie A","Serie A","14.4","20-21"
"Krépin Diatta","Jupiler Pro League","Ligue 1","14.4","20-21"
"Paulinho","Liga NOS","Liga NOS","14.4","20-21"
"Morgan Sanson","Ligue 1","Premier League","14.22","20-21"
"Antony","Paulistão A1 - Primeira fase","Eredivisie","14.18","20-21"
"Matty Cash","Championship","Premier League","14.18","20-21"
"Alex Telles","Liga NOS","Premier League","13.5","20-21"
"Mario Pasalic","Premier League","Serie A","13.5","20-21"
"Chris Smalling","Premier League","Serie A","13.5","20-21"
"Geoffrey Kondogbia","LaLiga","LaLiga","13.5","20-21"
"Luca Waldschmidt","Bundesliga","Liga NOS","13.5","20-21"
"Alfred Duncan","Serie A","Serie A","13.5","20-21"
"Serhou Guirassy","Ligue 2","Ligue 1","13.5","20-21"
"Jhon Córdoba","Bundesliga","Bundesliga","13.5","20-21"
"Nicolás Otamendi","Premier League","Liga NOS","13.5","20-21"
"Ibrahima Diallo","Ligue 1","Premier League","13.5","20-21"
"Aleksey Miranchuk","Premier Liga","Serie A","13.05","20-21"
"Pedro","Serie A","Série A","12.6","20-21"
"Óscar Rodríguez","LaLiga","LaLiga","12.15","20-21"
"Grady Diangana","Premier League","Premier League","12.15","20-21"
"Kyle Walker-Peters","Premier League","Premier League","11.97","20-21"
"Gianluca Mancini","Serie A","Serie A","11.7","20-21"
"Robin Koch","Bundesliga","Premier League","11.7","20-21"
"Axel Disasi","Ligue 1","Ligue 1","11.7","20-21"
"Marko Rog","Serie A","Serie A","11.7","20-21"
"Konstantinos Tsimikas","Super League 1","Premier League","11.7","20-21"
"Dennis Man","Liga 1","Serie A","11.7","20-21"
"Joe Rodon","Championship","Premier League","10.89","20-21"
"Giovanni Simeone","Serie A","Serie A","10.8","20-21"
"Martin Terrier","Ligue 1","Ligue 1","10.8","20-21"
"Dejan Lovren","Premier League","Premier Liga","10.8","20-21"
"Mohammed Salisu","LaLiga","Premier League","10.8","20-21"
"Oussama Idrissi","Eredivisie","LaLiga","10.8","20-21"
"Álex Berenguer","Serie A","LaLiga","10.8","20-21"
"Brenner","Série A","MLS","10.64","20-21"
"Anthony Knockaert","Premier League","Premier League","10.53","20-21"
"Karl Toko Ekambi","LaLiga","Ligue 1","10.35","20-21"
"Chidera Ejuke","Eredivisie","Premier Liga","10.35","20-21"
"Kevin Volland","Bundesliga","Ligue 1","9.9","20-21"
"Christian Kouamé","Serie A","Serie A","9.9","20-21"
"Davy Klaassen","Bundesliga","Eredivisie","9.9","20-21"
"Pol Lirola","Serie A","Serie A","9.9","20-21"
"Carles Pérez","LaLiga","Serie A","9.9","20-21"
"Kevin Bonifazi","Serie A","Serie B","9.9","20-21"
"Jakub Moder","Ekstraklasa","Premier League","9.9","20-21"
"Joakim Maehle","Jupiler Pro League","Serie A","9.9","20-21"
"Jeremie Frimpong","Premiership","Bundesliga","9.9","20-21"
"Rolando Mandragora","Serie A","Serie A","9.63","20-21"
"Marcos Acuña","Liga NOS","LaLiga","9.45","20-21"
"Félix Correia","Premier League 2","Serie C - A","9.45","20-21"
"Marc Cucurella","LaLiga","LaLiga","9","20-21"
"Habib Diallo","Ligue 1","Ligue 1","9","20-21"
"Pablo Moreno","Primavera 1","Premier League","9","20-21"
"Baptiste Santamaria","Ligue 1","Bundesliga","9","20-21"
"Alfred Gomis","Ligue 1","Ligue 1","9","20-21"
"Ridle Baku","Bundesliga","Bundesliga","9","20-21"
"Manolo Portanova","Serie A","Serie A","9","20-21"
"Carlos Fernández","LaLiga","LaLiga","9","20-21"
"Ki-Jana Hoever","Premier League 2","Premier League","8.82","20-21"
"Marc Roca","LaLiga2","Bundesliga","8.1","20-21"
"Hee-chan Hwang","Bundesliga","Bundesliga","8.1","20-21"
"Ibrahim Sangaré","Ligue 2","Eredivisie","8.1","20-21"
"Adrian Grbic","Ligue 2","Ligue 1","8.1","20-21"
"Mohammed Kudus","Superligaen","Eredivisie","8.1","20-21"
"Grégoire Defrel","Serie A","Serie A","8.1","20-21"
"Vlad Chiriche<U+0219>","Serie A","Serie A","8.1","20-21"
"Enes Ünal","LaLiga","LaLiga","8.1","20-21"
"Sam Lammers","Eredivisie","Serie A","8.1","20-21"
"Kouadio Koné","Ligue 2","Bundesliga","8.1","20-21"
"Adolfo Gaich","Argentina","Premier Liga","7.65","20-21"
"Seko Fofana","Serie A","Ligue 1","7.65","20-21"
"Nikola Moro","1.HNL","Premier Liga","7.65","20-21"
"Valentin Mihaila","Liga 1","Serie A","7.65","20-21"
"Facundo Pellistri","Torneo Intermedio","Premier League","7.65","20-21"
"Filip Stevanovic","Super liga Srbije","Premier League","7.65","20-21"
"Matheus Pereira","Liga NOS","Premier League","7.43","20-21"
"Philipp Max","Bundesliga","Eredivisie","7.2","20-21"
"Andrea Pinamonti","Serie A","Serie A","7.2","20-21"
"Bouna Sarr","Ligue 1","Bundesliga","7.2","20-21"
"Yann Karamoh","Serie A","Serie A","7.2","20-21"
"Abel Ruiz","2ª B - Grupo III","Liga NOS","7.2","20-21"
"Robson Bambu","Brazil","Ligue 1","7.2","20-21"
"Matheus","Serie C - A","2ª B - Grupo III","7.2","20-21"
"Sven Botman","Keuken Kampioen Divisie","Ligue 1","7.2","20-21"
"Bruno Fuchs","Brazil","Premier Liga","7.2","20-21"
"Caio Henrique","LaLiga","Ligue 1","7.2","20-21"
"Terem Moffi","Jupiler Pro League","Ligue 1","7.2","20-21"
"Mohamed Fares","Serie B","Serie A","7.2","20-21"
"Marley Aké","Ligue 1","Serie C - A","7.2","20-21"
"Franco Tongya","Serie C - A","Ligue 1","7.2","20-21"
"Elia Petrelli","Serie C - A","Serie A","7.2","20-21"
"Karol Linetty","Serie A","Serie A","6.75","20-21"
"Paul Bernardoni","Ligue 1","Ligue 1","6.75","20-21"
"Evanilson","Brazil","Liga NOS","6.75","20-21"
"Eldor Shomurodov","Premier Liga","Serie A","6.75","20-21"
"Maxime Busi","Jupiler Pro League","Serie A","6.75","20-21"
"Ondrej Duda","Bundesliga","Bundesliga","6.3","20-21"
"Irfan Can Kahveci","Süper Lig","Süper Lig","6.3","20-21"
"Luis Suárez","Championship","LaLiga","6.3","20-21"
"Matheus Fernandes","Paulistão A1 - Primeira fase","LaLiga","6.3","20-21"
"Francesco Cassata","Serie A","Serie A","6.3","20-21"
"Felix Uduokhai","Bundesliga","Bundesliga","6.3","20-21"
"Simone Muratore","Serie A","Serie A","6.3","20-21"
"Amine Gouiri","Ligue 1","Ligue 1","6.3","20-21"
"Leonardo Bittencourt","Bundesliga","Bundesliga","6.3","20-21"
"Alexander Schwolow","Bundesliga","Bundesliga","6.3","20-21"
"Luciano Vietto","Liga NOS","Professional League","6.3","20-21"
"Antonio Sanabria","LaLiga","Serie A","6.3","20-21"
"Alberto Grassi","Serie A","Serie A","6.21","20-21"
"Francis Coquelin","LaLiga","LaLiga","5.85","20-21"
"Sebastian Andersson","Bundesliga","Bundesliga","5.85","20-21"
"Pedro Gonçalves","Liga NOS","Liga NOS","5.85","20-21"
"Nahuel Bustos","Argentina","Premier League","5.85","20-21"
"Mikkel Damsgaard","Superligaen","Serie A","5.85","20-21"
"Illan Meslier","Ligue 1","Premier League","5.85","20-21"
"Harrison Reed","Premier League","Premier League","5.85","20-21"
"Simon Sohm","Super League","Serie A","5.85","20-21"
"Lucas Veríssimo","Série A","Liga NOS","5.85","20-21"
"Giuseppe Pezzella","Serie A","Serie A","5.81","20-21"
"Lucas Robertone","Argentina","LaLiga2","5.76","20-21"
"Marcelino Moreno","Argentina","MLS","5.73","20-21"
"Stephy Mavididi","Serie C - A","Ligue 1","5.67","20-21"
"Lucas Martínez Quarta","Argentina","Serie A","5.4","20-21"
"Sergio Rico","LaLiga","Ligue 1","5.4","20-21"
"Papu Gómez","Serie A","LaLiga","4.95","20-21"
"François Kamano","Ligue 1","Premier Liga","4.95","20-21"
"Zé Luís","Liga NOS","Premier Liga","4.95","20-21"
"Brenden Aaronson","MLS","Bundesliga","4.91","20-21"
"João Félix","Liga NOS","LaLiga","114.48","19-20"
"Antoine Griezmann","LaLiga","LaLiga","108","19-20"
"Eden Hazard","Premier League","LaLiga","103.5","19-20"
"Harry Maguire","Premier League","Premier League","78.3","19-20"
"Frenkie de Jong","Eredivisie","LaLiga","77.4","19-20"
"Matthijs de Ligt","Eredivisie","Serie A","76.95","19-20"
"Lucas Hernández","LaLiga","Bundesliga","72","19-20"
"Nicolas Pépé","Ligue 1","Premier League","72","19-20"
"Romelu Lukaku","Premier League","Serie A","66.6","19-20"
"João Cancelo","Serie A","Premier League","58.5","19-20"
"Luka Jovic","Bundesliga","LaLiga","56.7","19-20"
"Rodri","LaLiga","Premier League","56.43","19-20"
"Tanguy Ndombélé","Ligue 1","Premier League","54","19-20"
"Miralem Pjanic","Serie A","LaLiga","54","19-20"
"Bruno Fernandes","Liga NOS","Premier League","49.5","19-20"
"Aaron Wan-Bissaka","Premier League","Premier League","49.5","19-20"
"Éder Militão","Liga NOS","LaLiga","45","19-20"
"Sébastien Haller","Bundesliga","Premier League","45","19-20"
"Ferland Mendy","Ligue 1","LaLiga","43.2","19-20"
"Rodrygo","Série A","LaLiga","40.5","19-20"
"Mateo Kovacic","LaLiga","Premier League","40.5","19-20"
"Youri Tielemans","Ligue 1","Premier League","40.5","19-20"
"Joelinton","Bundesliga","Premier League","39.6","19-20"
"Malcom","LaLiga","Premier Liga","36","19-20"
"Wissam Ben Yedder","LaLiga","Ligue 1","36","19-20"
"Raúl Jiménez","Liga NOS","Premier League","34.2","19-20"
"Danilo","Premier League","Serie A","33.3","19-20"
"Konstantinos Manolas","Serie A","Serie A","32.4","19-20"
"Hirving Lozano","Eredivisie","Serie A","31.5","19-20"
"Benjamin Pavard","2. Bundesliga","Bundesliga","31.5","19-20"
"Jasper Cillessen","LaLiga","LaLiga","31.5","19-20"
"Dejan Kulusevski","Serie A","Serie A","31.5","19-20"
"Ayoze Pérez","Premier League","Premier League","30.06","19-20"
"Abdou Diallo","Bundesliga","Ligue 1","28.8","19-20"
"Kerem Demirbay","Bundesliga","Bundesliga","28.8","19-20"
"Mats Hummels","Bundesliga","Bundesliga","27.45","19-20"
"Alex Iwobi","Premier League","Premier League","27.36","19-20"
"Steven Bergwijn","Eredivisie","Premier League","27","19-20"
"Marcos Llorente","LaLiga","LaLiga","27","19-20"
"Gelson Martins","LaLiga","Ligue 1","27","19-20"
"William Saliba","Ligue 1","Premier League","27","19-20"
"Idrissa Gueye","Premier League","Ligue 1","27","19-20"
"Ismaïla Sarr","Ligue 1","Premier League","27","19-20"
"Reinier","Brazil","LaLiga","27","19-20"
"Leonardo Spinazzola","Serie A","Serie A","26.55","19-20"
"Rafael Leão","Ligue 1","Serie A","26.55","19-20"
"Pablo Fornals","LaLiga","Premier League","25.2","19-20"
"Patrick Cutrone","Serie A","Premier League","25.2","19-20"
"Borja Iglesias","LaLiga","LaLiga","25.2","19-20"
"Moise Kean","Serie A","Premier League","24.75","19-20"
"Christian Eriksen","Premier League","Serie A","24.3","19-20"
"Ryan Sessegnon","Championship","Premier League","24.3","19-20"
"Kieran Tierney","Premiership","Premier League","24.3","19-20"
"Alex Meret","Serie A","Serie A","23.4","19-20"
"Neto","LaLiga","LaLiga","23.4","19-20"
"Cristian Romero","Serie A","Serie A","23.4","19-20"
"Thorgan Hazard","Bundesliga","Bundesliga","22.95","19-20"
"Nico Schulz","Bundesliga","Bundesliga","22.95","19-20"
"Julian Brandt","Bundesliga","Bundesliga","22.5","19-20"
"Marko Arnautovic","Premier League","Super League","22.5","19-20"
"André Gomes","LaLiga","Premier League","22.5","19-20"
"Jean-Philippe Gbamin","Bundesliga","Premier League","22.5","19-20"
"Wesley","Jupiler Pro League","Premier League","22.5","19-20"
"Jules Koundé","Ligue 1","LaLiga","22.5","19-20"
"Mario Hermoso","LaLiga","LaLiga","22.5","19-20"
"Rony Lopes","Ligue 1","LaLiga","22.5","19-20"
"Jeff Reine-Adélaïde","Ligue 1","Ligue 1","22.5","19-20"
"Lucas Tousart","Ligue 1","Bundesliga","22.5","19-20"
"Franck Kessié","Serie A","Serie A","21.6","19-20"
"Krzysztof Piatek","Serie A","Bundesliga","21.6","19-20"
"Joachim Andersen","Serie A","Ligue 1","21.6","19-20"
"Sander Berge","Jupiler Pro League","Premier League","21.6","19-20"
"Pau López","LaLiga","Serie A","21.15","19-20"
"Paco Alcácer","Bundesliga","LaLiga","20.7","19-20"
"Raúl de Tomás","Liga NOS","LaLiga","20.25","19-20"
"Victor Osimhen","Jupiler Pro League","Ligue 1","20.16","19-20"
"Valentino Lazaro","Bundesliga","Serie A","20.16","19-20"
"Luka Jovic","Liga NOS","Bundesliga","20.1","19-20"
"Tyrone Mings","Premier League","Premier League","20.07","19-20"
"Adam Webster","Championship","Premier League","20","19-20"
"Neal Maupay","Championship","Premier League","20","19-20"
"Danny Ings","Premier League","Premier League","19.98","19-20"
"Giovani Lo Celso","Ligue 1","LaLiga","19.8","19-20"
"Kieran Trippier","Premier League","LaLiga","19.8","19-20"
"Thiago Mendes","Ligue 1","Ligue 1","19.8","19-20"
"Luca Pellegrini","Serie A","Serie A","19.8","19-20"
"Theo Hernández","LaLiga","Serie A","19.35","19-20"
"Jarrod Bowen","Championship","Premier League","19.17","19-20"
"Matteo Politano","Serie A","Serie A","18.99","19-20"
"Paco Alcácer","LaLiga","Bundesliga","18.9","19-20"
"Dani Olmo","1.HNL","Bundesliga","18.9","19-20"
"Bryan Cristante","Serie A","Serie A","18.9","19-20"
"Amadou Diawara","Serie A","Serie A","18.9","19-20"
"Stanislav Lobotka","LaLiga","Serie A","18.81","19-20"
"Renan Lodi","Série A","LaLiga","18.54","19-20"
"Kasper Dolberg","Eredivisie","Ligue 1","18.45","19-20"
"Luis Muriel","LaLiga","Serie A","18.09","19-20"
"Erling Haaland","Bundesliga","Bundesliga","18","19-20"
"Julian Weigl","Bundesliga","Liga NOS","18","19-20"
"Emil Audero","Serie A","Serie A","18","19-20"
"Felipe","Liga NOS","LaLiga","18","19-20"
"Leandro Trossard","Jupiler Pro League","Premier League","18","19-20"
"Raúl de Tomás","LaLiga","Liga NOS","18","19-20"
"Dodi Lukebakio","Premier League","Bundesliga","18","19-20"
"Maximilian Philipp","Bundesliga","Premier Liga","18","19-20"
"Renato Sanches","Bundesliga","Ligue 1","18","19-20"
"Youssef En-Nesyri","LaLiga","LaLiga","18","19-20"
"Bruno Guimarães","Brazil","Ligue 1","18","19-20"
"Nabil Fekir","Ligue 1","LaLiga","17.78","19-20"
"Daniel Podence","Super League 1","Premier League","17.64","19-20"
"Dennis Praet","Serie A","Premier League","17.28","19-20"
"Oliver McBurnie","Championship","Premier League","17.19","19-20"
"Salomón Rondón","Championship","Super League","16.44","19-20"
"Pablo Sarabia","LaLiga","Ligue 1","16.2","19-20"
"Allan Saint-Maximin","Ligue 1","Premier League","16.2","19-20"
"Júnior Firpo","LaLiga","LaLiga","16.2","19-20"
"Ademola Lookman","Premier League","Bundesliga","16.2","19-20"
"Merih Demiral","Serie A","Serie A","16.2","19-20"
"Arnaut Danjuma","Jupiler Pro League","Premier League","16.2","19-20"
"Nahitan Nández","Superliga","Serie A","16.2","19-20"
"Guillermo Maripán","LaLiga","Ligue 1","16.2","19-20"
"Aurélien Tchouaméni","Ligue 1","Ligue 1","16.2","19-20"
"Matheus Cunha","Bundesliga","Bundesliga","16.2","19-20"
"Edmond Tapsoba","Liga NOS","Bundesliga","16.2","19-20"
"Martin Braithwaite","LaLiga","LaLiga","16.2","19-20"
"Pedro Neto","Serie A","Premier League","16.11","19-20"
"Daniel James","Championship","Premier League","16","19-20"
"Yusuf Yazici","Süper Lig","Ligue 1","15.75","19-20"
"Gabriel Barbosa","Serie A","Brazil","15.71","19-20"
"Exequiel Palacios","Superliga","Bundesliga","15.3","19-20"
"Munas Dabbur","Bundesliga","LaLiga","15.3","19-20"
"Carlos Vinícius","Serie A","Liga NOS","15.3","19-20"
"Douglas Luiz","Premier League","Premier League","15.12","19-20"
"Che Adams","Championship","Premier League","15.03","19-20"
"Andrea Petagna","Serie A","Serie A","14.85","19-20"
"Stefano Sturaro","Serie A","Serie A","14.85","19-20"
"Philip Billing","Championship","Premier League","14.85","19-20"
"Ismaël Bennacer","Serie B","Serie A","14.58","19-20"
"Eljif Elmas","Süper Lig","Serie A","14.49","19-20"
"Stephan El Shaarawy","Serie A","Super League","14.4","19-20"
"Guus Til","Eredivisie","Premier Liga","14.4","19-20"
"Nikola Vlasic","Premier League","Premier Liga","14.13","19-20"
"Quincy Promes","LaLiga","Eredivisie","14.13","19-20"
"Moussa Djenepo","Jupiler Pro League","Premier League","14.13","19-20"
"Matt Targett","Premier League","Premier League","13.95","19-20"
"M'Baye Niang","Serie A","Ligue 1","13.5","19-20"
"Diego Carlos","Ligue 1","LaLiga","13.5","19-20"
"Moussa Diaby","Ligue 1","Bundesliga","13.5","19-20"
"Riccardo Orsolini","Serie A","Serie A","13.5","19-20"
"Xaver Schlager","Bundesliga","Bundesliga","13.5","19-20"
"Ozan Kabak","2. Bundesliga","Bundesliga","13.5","19-20"
"Lucas Ocampos","Ligue 1","LaLiga","13.5","19-20"
"Edson Álvarez","Liga MX Clausura","Eredivisie","13.5","19-20"
"Keylor Navas","LaLiga","Ligue 1","13.5","19-20"
"Youssouf Fofana","Ligue 1","Ligue 1","13.5","19-20"
"Lloyd Kelly","Championship","Premier League","13.32","19-20"
"Maxi Gómez","LaLiga","LaLiga","13.05","19-20"
"Jakub Jankto","Serie A","Serie A","13.05","19-20"
"Diadié Samassékou","Bundesliga","Bundesliga","12.6","19-20"
"Darío Benedetto","Superliga","Ligue 1","12.6","19-20"
"Joan Jordán","LaLiga","LaLiga","12.6","19-20"
"Leander Dendoncker","Jupiler Pro League","Premier League","12.42","19-20"
"Manuel Lazzari","Serie A","Serie A","12.38","19-20"
"Ruslan Malinovskyi","Jupiler Pro League","Serie A","12.24","19-20"
"Benjamin Lecomte","Ligue 1","Ligue 1","12.15","19-20"
"Henry Onyekuru","Premier League","Ligue 1","12.15","19-20"
"Ezri Konsa","Championship","Premier League","11.97","19-20"
"Jeison Murillo","LaLiga","Serie A","11.97","19-20"
"Valentin Rongier","Ligue 1","Ligue 1","11.7","19-20"
"Douglas Santos","2. Bundesliga","Premier Liga","11.7","19-20"
"Christopher Nkunku","Ligue 1","Bundesliga","11.7","19-20"
"Alexis Claude-Maurice","Ligue 2","Ligue 1","11.7","19-20"
"Denis Suárez","LaLiga","LaLiga","11.61","19-20"
"Razvan Marin","Jupiler Pro League","Eredivisie","11.25","19-20"
"Manuel Locatelli","Serie A","Serie A","11.25","19-20"
"Stefan Lainer","Bundesliga","Bundesliga","11.25","19-20"
"Luuk de Jong","Eredivisie","LaLiga","11.25","19-20"
"Isaac Mbenza","Ligue 1","Championship","11.25","19-20"
"Stanley Nsoki","Ligue 1","Ligue 1","11.25","19-20"
"Duván Zapata","Serie A","Serie A","10.8","19-20"
"Shoya Nakajima","Stars League","Liga NOS","10.8","19-20"
"Andrea Petagna","Serie A","Serie A","10.8","19-20"
"Grzegorz Krychowiak","Ligue 1","Premier Liga","10.8","19-20"
"Angeliño","Eredivisie","Premier League","10.8","19-20"
"Rémy Cabella","Ligue 1","Premier Liga","10.8","19-20"
"Simone Zaza","LaLiga","Serie A","10.8","19-20"
"Hannes Wolf","Bundesliga","Bundesliga","10.8","19-20"
"Emerson","Série A","LaLiga","10.8","19-20"
"Bruma","Bundesliga","Eredivisie","10.8","19-20"
"Marvelous Nakamba","Jupiler Pro League","Premier League","10.8","19-20"
"Pedro Porro","LaLiga2","Premier League","10.8","19-20"
"Alex Kral","Fortuna Liga Championship Group","Premier Liga","10.8","19-20"
"Thierry Correia","Liga NOS","LaLiga","10.8","19-20"
"Munas Dabbur","LaLiga","Bundesliga","10.8","19-20"
"Tino Kadewere","Ligue 2","Ligue 1","10.8","19-20"
"Gerson","Serie A","Série A","10.62","19-20"
"Ivan Cavaleiro","Premier League","Championship","10.62","19-20"
"Zinho Vanheusden","Serie A","Jupiler Pro League","10.57","19-20"
"Noah Okafor","SSL","Bundesliga","10.08","19-20"
"Lys Mousset","Premier League","Premier League","9.99","19-20"
"Kylian Mbappé","Ligue 1","Ligue 1","130.5","18-19"
"Cristiano Ronaldo","LaLiga","Serie A","105.3","18-19"
"Kepa","LaLiga","Premier League","72","18-19"
"Thomas Lemar","Ligue 1","LaLiga","64.8","18-19"
"Riyad Mahrez","Premier League","Premier League","61.02","18-19"
"Christian Pulisic","Bundesliga","Premier League","57.6","18-19"
"Alisson","Serie A","Premier League","56.25","18-19"
"Naby Keïta","Bundesliga","Premier League","54","18-19"
"Fred","UPL","Premier League","53.1","18-19"
"Jorginho","Serie A","Premier League","51.3","18-19"
"Vinícius Júnior","Série A","LaLiga","40.5","18-19"
"Fabinho","Ligue 1","Premier League","40.5","18-19"
"Patrik Schick","Serie A","Serie A","37.8","18-19"
"Paulinho","LaLiga","Super League","37.8","18-19"
"Malcom","Ligue 1","LaLiga","36.9","18-19"
"João Cancelo","LaLiga","Serie A","36.36","18-19"
"Douglas Costa","Bundesliga","Serie A","36","18-19"
"Gonçalo Guedes","Ligue 1","LaLiga","36","18-19"
"Leandro Paredes","Premier Liga","Ligue 1","36","18-19"
"Richarlison","Premier League","Premier League","35.28","18-19"
"Lucas Paquetá","Série A","Serie A","34.56","18-19"
"Radja Nainggolan","Serie A","Serie A","34.2","18-19"
"Felipe Anderson","Serie A","Premier League","34.2","18-19"
"Thilo Kehrer","Bundesliga","Ligue 1","33.3","18-19"
"Mattia Caldara","Serie A","Serie A","32.76","18-19"
"Clément Lenglet","LaLiga","LaLiga","32.31","18-19"
"Thibaut Courtois","Premier League","LaLiga","31.5","18-19"
"Leonardo Bonucci","Serie A","Serie A","31.5","18-19"
"Krzysztof Piatek","Serie A","Serie A","31.5","18-19"
"Shoya Nakajima","Liga NOS","Stars League","31.5","18-19"
"Arthur","Série A","LaLiga","27.9","18-19"
"Yerry Mina","LaLiga","Premier League","27.23","18-19"
"Fabián Ruiz","LaLiga","Serie A","27","18-19"
"Álvaro Odriozola","LaLiga","LaLiga","27","18-19"
"Jean Michaël Seri","Ligue 1","Premier League","27","18-19"
"Aleksandr Golovin","Premier Liga","Ligue 1","27","18-19"
"Anthony Modeste","2. Bundesliga","Super League","26.1","18-19"
"Lucas Torreira","Serie A","Premier League","25.79","18-19"
"Abdou Diallo","Bundesliga","Bundesliga","25.2","18-19"
"Jefferson Lerma","LaLiga","Premier League","25.2","18-19"
"Steven Nzonzi","LaLiga","Serie A","23.99","18-19"
"Kevin Strootman","Serie A","Ligue 1","22.5","18-19"
"Lautaro Martínez","Superliga","Serie A","22.5","18-19"
"Issa Diop","Ligue 1","Premier League","22.5","18-19"
"Bernd Leno","Bundesliga","Premier League","22.5","18-19"
"James Maddison","Championship","Premier League","22.5","18-19"
"Jannik Vestergaard","Bundesliga","Premier League","22.5","18-19"
"André Zambo Anguissa","Ligue 1","Premier League","22.37","18-19"
"Javier Pastore","Ligue 1","Serie A","22.23","18-19"
"Aleksandar Mitrovic","Premier League","Premier League","22.23","18-19"
"Simone Verdi","Serie A","Serie A","22.05","18-19"
"Yuri Berchiche","Ligue 1","LaLiga","21.6","18-19"
"Miguel Almirón","MLS","Premier League","21.6","18-19"
"Alassane Plea","Ligue 1","Bundesliga","20.7","18-19"
"Nikola Kalinic","Serie A","Serie A","20.25","18-19"
"Gelson Martins","Liga NOS","LaLiga","19.8","18-19"
